,brewery_id,brewery_name,city,state
0,0,NorthGate Brewing ,Minneapolis, MN
1,1,Against the Grain Brewery,Louisville, KY
2,2,Jack's Abby Craft Lagers,Framingham, MA
3,3,Mike Hess Brewing Company,San Diego, CA
4,4,Fort Point Beer Company,San Francisco, CA
5,5,COAST Brewing Company,Charleston, SC
6,6,Great Divide Brewing Company,Denver, CO
7,7,Tapistry Brewing,Bridgman, MI
8,8,Big Lake Brewing,Holland, MI
9,9,The Mitten Brewing Company,Grand Rapids, MI
10,10,Brewery Vivant,Grand Rapids, MI
11,11,Petoskey Brewing,Petoskey, MI
12,12,Blackrocks Brewery,Marquette, MI
13,13,Perrin Brewing Company,Comstock Park, MI
14,14,Witch's Hat Brewing Company,South Lyon, MI
15,15,Founders Brewing Company,Grand Rapids, MI
16,16,Flat 12 Bierwerks,Indianapolis, IN
17,17,Tin Man Brewing Company,Evansville, IN
18,18,Black Acre Brewing Co.,Indianapolis, IN
19,19,Brew Link Brewing,Plainfield, IN
20,20,Bare Hands Brewery,Granger, IN
21,21,Three Pints Brewing,Martinsville, IN
22,22,Four Fathers Brewing ,Valparaiso, IN
23,23,Indiana City Brewing,Indianapolis, IN
24,24,Burn 'Em Brewing,Michigan City, IN
25,25,Sun King Brewing Company,Indianapolis, IN
26,26,Evil Czech Brewery,Mishawaka, IN
27,27,450 North Brewing Company,Columbus, IN
28,28,Taxman Brewing Company,Bargersville, IN
29,29,Cedar Creek Brewery,Seven Points, TX
30,30,SanTan Brewing Company,Chandler, AZ
31,31,Boulevard Brewing Company,Kansas City, MO
32,32,James Page Brewing Company,Stevens Point, WI
33,33,The Dudes' Brewing Company,Torrance, CA
34,34,Ballast Point Brewing Company,San Diego, CA
35,35,Anchor Brewing Company,San Francisco, CA
36,36,Figueroa Mountain Brewing Company,Buellton, CA
37,37,Avery Brewing Company,Boulder, CO
38,38,Twisted X Brewing Company,Dripping Springs, TX
39,39,Gonzo's BiggDogg Brewing,Kalamazoo, MI
40,40,Big Muddy Brewing,Murphysboro, IL
41,41,Lost Nation Brewing,East Fairfield, VT
42,42,Rising Tide Brewing Company,Portland, ME
43,43,Rivertowne Brewing Company,Export, PA
44,44,Revolution Brewing Company,Chicago, IL
45,45,Tallgrass Brewing Company,Manhattan, KS
46,46,Sixpoint Craft Ales,Brooklyn, NY
47,47,White Birch Brewing,Hooksett, NH
48,48,Firestone Walker Brewing Company,Paso Robles, CA
49,49,SweetWater Brewing Company,Atlanta, GA
50,50,Flying Mouse Brewery,Troutville, VA
51,51,Upslope Brewing Company,Boulder, CO
52,52,Pipeworks Brewing Company,Chicago, IL
53,53,Bent Brewstillery,Roseville, MN
54,54,Flesk Brewing Company,Lombard, IL
55,55,Pollyanna Brewing Company,Lemont, IL
56,56,BuckleDown Brewing,Lyons, IL
57,57,Destihl Brewery,Bloomington, IL
58,58,Summit Brewing Company,St. Paul, MN
59,59,Latitude 42 Brewing Company,Portage, MI
60,60,4 Hands Brewing Company,Saint Louis, MO
61,61,Surly Brewing Company,Brooklyn Center, MN
62,62,Against The Grain Brewery,Louisville, KY
63,63,Crazy Mountain Brewing Company,Edwards, CO
64,64,SlapShot Brewing Company,Chicago, IL
65,65,Mikerphone Brewing,Chicago, IL
